# Z1 Z2 a b c d rms_err(%) max_err(%)
 2 81  0.38495 -1.68886  9.56161 -0.98462  1.93  3.71
 2 82  0.38197 -1.69258  9.56474 -0.97261  0.86  1.90
 2 83  0.46954 -1.66864  9.35046 -0.95688  1.76  2.97
 2 84  0.69694 -1.61928  9.20985 -0.90960  3.42  7.69
 2 85  0.53501 -1.63261  9.47932 -0.93876  0.90  1.58
 2 86  0.29890 -1.67793  9.41348 -0.99663  2.74  4.76
 2 87  0.32813 -1.67022  9.54731 -0.97557  1.83  3.29
 2 88  0.28490 -1.69663  9.72248 -0.96648  1.28  2.48
 2 89  0.17573 -1.75765  9.54440 -0.99920  2.61  4.57
 2 90  0.16509 -1.77175  9.55793 -0.99655  2.71  4.77
 2 91  0.45626 -1.66996  9.47038 -0.95478  2.43  3.93
 2 92  0.50698 -1.66095  9.44564 -0.94677  2.49  4.09
 3  3  0.02750 -2.05266  6.78732 -1.14763  2.47  5.12
 3  4  0.03811 -2.01507  7.46531 -1.10639  1.08  2.68
 3  5  0.05784 -2.01876  7.57947 -1.12196  1.24  2.85
 3  6  0.08370 -2.00545  8.04098 -1.12568  2.79  5.53
 3  7  0.09385 -2.01094  8.03160 -1.16136  2.03  4.32
 3  8  0.10146 -2.01702  8.64247 -1.10613  1.05  2.27
 3  9  0.11827 -2.00657  9.03372 -1.04177  0.63  1.29
 3 10  0.28023 -1.81364  8.74086 -0.99627  3.63  6.72
 3 11  0.13547 -1.85123  8.46070 -1.07853  6.59 11.61
 3 12  0.08403 -1.84992  8.29254 -1.10791  7.84 13.95
 3 13  0.07731 -1.90743  8.40988 -1.08424  6.42 11.71
 3 14  0.08395 -1.92320  8.39229 -1.07712  6.05 10.49
 3 15  0.08871 -1.93399  8.29629 -1.08137  5.86 10.53
 3 16  0.07840 -1.95935  8.43081 -1.06632  4.85  8.94
 3 17  0.06238 -1.99174  8.52771 -1.05375  3.59  7.68
 3 18  0.17988 -1.80276  8.15082 -1.02774  1.95  3.67
 3 19  0.24071 -1.73523  8.19811 -1.02890  5.72 12.09
 3 20  0.22159 -1.74395  8.15790 -1.04777  6.64 14.21
 3 21  0.25736 -1.77184  8.30974 -1.01881  4.46  8.92
 3 22  0.25797 -1.78979  8.36630 -1.02449  4.24  8.25
 3 23  0.27320 -1.79758  8.41857 -1.02402  3.77  7.03
 3 24  0.29407 -1.80035  8.47729 -1.01904  3.59  6.70
 3 25  0.27317 -1.82081  8.56794 -1.02580  3.12  5.55
 3 26  0.24498 -1.83924  8.66173 -1.03855  3.07  5.20
 3 27  0.22498 -1.84961  8.73113 -1.05290  3.47  5.88
 3 28  0.20561 -1.85706  8.78915 -1.06149  3.75  6.55
 3 29  0.14166 -1.88172  8.83347 -1.08376  4.29  7.25
 3 30  0.51325 -1.66519  8.25832 -1.04937  4.33 10.85
 3 31  0.18965 -1.79646  8.82946 -1.08201  5.39 10.54
 3 32  0.12839 -1.84992  8.82321 -1.09452  5.26  9.96
 3 33  0.11266 -1.87349  8.92616 -1.09166  5.60  9.80
 3 34  0.08397 -1.91180  9.02074 -1.08498  4.73  7.92
 3 35  0.05788 -1.95566  9.09458 -1.07937  4.00  8.00
 3 36  0.22775 -1.75252  9.13838 -1.01791  2.40  4.10
 3 37  0.50524 -1.63655  8.83492 -0.97439  3.71  9.82
 3 38  0.64044 -1.60542  8.66896 -0.95403  4.86 12.44
 3 39  0.30376 -1.73151  9.04264 -0.98674  2.82  5.81
 3 40  0.25766 -1.76741  9.09271 -0.99120  2.82  5.55
 3 41  0.22927 -1.79506  9.14538 -0.99334  2.78  5.11
 3 42  0.20566 -1.81937  9.18565 -0.99567  2.79  5.02
 3 43  0.17645 -1.84422  9.20000 -1.00627  3.23  5.31
 3 44  0.17706 -1.84598  9.20003 -1.00793  3.50  6.02
 3 45  0.18097 -1.84384  9.18802 -1.00964  3.75  6.56
 3 46  0.16648 -1.84291  9.17054 -1.01794  4.12  7.34
 3 47  0.15820 -1.83198  9.15831 -1.02269  4.25  7.52
 3 48  0.58407 -1.64106  8.81076 -0.93976  2.71  6.99
 3 49  0.29655 -1.72688  9.02326 -0.99378  4.53  8.99
 3 50  0.21269 -1.76922  9.03847 -1.01198  5.12 10.58
 3 51  0.17131 -1.79819  9.03082 -1.01877  5.61 11.19
 3 52  0.13140 -1.83098  9.03607 -1.02492  5.30 10.42
 3 53  0.09155 -1.87179  9.02359 -1.03465  5.21  9.31
 3 54  0.31974 -1.69118  8.99199 -0.96762  2.98  4.80
 3 55  0.70434 -1.58694  8.60707 -0.92085  1.59  4.30
 3 56  0.30751 -1.70578  9.00214 -0.98516  2.86  4.96
 3 57  0.23458 -1.74768  8.97599 -0.96924  3.39  5.79
 3 58  0.89857 -1.56332  8.41198 -0.92598  4.23 11.19
 3 59  0.90640 -1.56739  8.42309 -0.92900  3.97 10.18
 3 60  0.93820 -1.56663  8.41170 -0.92762  4.00 10.43
 3 61  0.96492 -1.56620  8.40779 -0.92724  4.03 10.62
 3 62  0.98597 -1.56607  8.41060 -0.92784  4.08 10.85
 3 63  1.00832 -1.56557  8.41542 -0.92843  4.06 10.90
 3 64  1.22520 -1.55234  8.18145 -0.89140  1.43  3.80
 3 65  1.03614 -1.56587  8.44614 -0.93135  3.77 10.47
 3 66  1.04435 -1.56641  8.47022 -0.93265  3.69 10.32
 3 67  1.03425 -1.56858  8.51272 -0.93608  3.62 10.19
 3 68  1.00011 -1.57306  8.57570 -0.94243  3.54  9.88
 3 69  0.92533 -1.58132  8.68273 -0.95265  3.55  9.48
 3 70  1.34116 -1.51933  8.27416 -0.91891  3.97 11.53
 3 71  0.48912 -1.67283  9.06784 -0.99455  2.54  4.77
 3 72  0.35203 -1.72310  9.32541 -1.01016  2.85  4.88
 3 73  0.28660 -1.75614  9.41041 -1.01760  2.92  4.79
 3 74  0.22465 -1.79238  9.48943 -1.02722  3.19  5.23
 3 75  0.19803 -1.80987  9.53756 -1.03248  3.57  6.00
 3 76  0.19706 -1.81103  9.53962 -1.03229  3.68  5.83
 3 77  0.19826 -1.80974  9.55013 -1.03151  3.79  6.18
 3 78  0.17806 -1.81059  9.55443 -1.03910  4.16  6.80
 3 79  0.16498 -1.80539  9.57636 -1.04195  4.08  6.55
 3 80  0.57476 -1.63522  9.28521 -0.96525  1.82  3.23
 3 81  0.34920 -1.69405  9.45404 -1.00143  3.16  6.82
 3 82  0.25326 -1.73147  9.50905 -1.01518  3.73  7.58
 3 83  0.20304 -1.75834  9.52379 -1.02402  4.24  8.05
 3 84  0.16099 -1.78579  9.54405 -1.02911  4.42  8.59
 3 85  0.11430 -1.82292  9.54627 -1.03923  4.65  8.89
 3 86  0.34397 -1.66846  9.41609 -0.98829  2.27  3.77
 3 87  0.72643 -1.57015  9.16162 -0.92404  1.54  4.31
 3 88  0.24839 -1.71391  9.53662 -0.99325  2.67  4.34
