# Z1 Z2 a b c d rms_err(%) max_err(%)
 4 52  0.89766  0.00282 -0.08843  0.22058  1.58  3.20
 4 53  0.88983  0.00228 -0.09897  0.20867  2.00  4.13
 4 54  0.94695  0.00185  0.00720  0.24211  2.88  5.63
 4 55  0.91306  0.00252  0.04267  0.23456  1.61  2.92
 4 56  0.92007  0.00204 -0.04390  0.24556  1.56  2.49
 4 57  0.90539  0.00434  0.00066  0.19864  2.00  3.38
 4 58  1.04077  0.00000 -0.62642  0.36681  2.63  5.25
 4 59  1.02797  0.00009 -0.23894  0.36348  2.66  5.42
 4 60  1.00932  0.00071 -0.03994  0.35374  2.66  6.21
 4 61  0.99298  0.00236  0.07261  0.34335  2.68  7.02
 4 62  0.98336  0.00450  0.13360  0.33770  2.76  7.56
 4 63  0.98006  0.00597  0.16163  0.33826  2.85  7.94
 4 64  0.89306  0.04508  0.28818  0.21492  1.65  2.75
 4 65  0.98624  0.00484  0.14876  0.35583  2.97  8.27
 4 66  0.99362  0.00286  0.10324  0.37030  2.92  7.98
 4 67  1.00256  0.00119  0.02327  0.38532  2.78  7.29
 4 68  1.00659  0.00045 -0.06768  0.39338  2.59  6.36
 4 69  0.99600  0.00013 -0.19004  0.38612  2.19  4.80
 4 70  0.99600  0.00007 -0.19004  0.38612  6.01 15.93
 4 71  0.93568  0.00419  0.01643  0.31071  1.42  2.23
 4 72  0.90172  0.00522  0.00552  0.28774  1.45  2.52
 4 73  0.89338  0.00452 -0.02493  0.28265  1.31  2.18
 4 74  0.89031  0.00382 -0.05190  0.28260  1.22  2.21
 4 75  0.89025  0.00334 -0.07181  0.28429  1.21  2.20
 4 76  0.88788  0.00310 -0.08317  0.28323  1.19  2.23
 4 77  0.87546  0.00314 -0.08245  0.27021  1.26  2.42
 4 78  0.85868  0.00306 -0.07822  0.25176  1.41  2.68
 4 79  0.86382  0.00299 -0.04199  0.25281  1.44  2.48
 4 80  0.84733  0.01222  0.18677  0.22386  1.71  2.84
 4 81  0.86767  0.00187 -0.03321  0.25442  1.63  2.78
 4 82  0.85980  0.00127 -0.09513  0.24485  1.56  2.55
 4 83  0.85193  0.00129 -0.11075  0.23479  1.54  2.63
 4 84  0.86230  0.00136 -0.11868  0.23324  2.45  4.82
 4 85  0.88003  0.00083 -0.15502  0.23701  3.19  5.58
 4 86  0.93071  0.00105  0.00429  0.25970  4.17  7.18
 4 87  0.88977  0.00025 -0.10978  0.24166  3.00  5.62
 4 88  0.82857  0.00173 -0.02605  0.19601  1.87  3.02
 4 89  0.82966  0.00193 -0.03684  0.19350  1.87  3.10
 4 90  0.82710  0.00223 -0.03731  0.18956  1.87  3.14
 4 91  0.85180  0.00493  0.01659  0.22260  1.88  3.88
 4 92  0.84977  0.00531  0.02026  0.22395  1.82  3.76
 5  5  1.05613  0.01297 -0.09515  0.34948  4.18  7.13
 5  6  0.99699  0.02220 -0.06342  0.29923  3.38  5.81
 5  7  0.94490  0.02946 -0.05007  0.24785  3.22  5.10
 5  8  0.91933  0.03626 -0.03642  0.20693  2.76  5.19
 5  9  0.94590  0.03529 -0.03133  0.22108  2.30  4.81
 5 10  0.60395  0.10135  0.29739 -0.00223  2.87  5.77
 5 11  1.12448  0.00133 -0.19917  0.42163  1.80  4.27
 5 12  1.01920  0.00167 -0.16096  0.32109  1.89  3.71
 5 13  0.98405  0.00393 -0.11938  0.28086  1.92  3.69
 5 14  0.98073  0.00636 -0.09863  0.27033  1.88  3.52
 5 15  0.97322  0.00908 -0.08104  0.25532  1.90  2.80
 5 16  0.93675  0.01070 -0.07005  0.21436  2.26  3.31
 5 17  0.92703  0.01058 -0.06099  0.20061  2.29  3.65
 5 18  1.00807  0.01430  0.07673  0.25347  2.12  4.64
 5 19  1.08919  0.00390 -0.05528  0.34113  2.05  4.48
 5 20  1.08575  0.00577 -0.04330  0.34563  1.85  4.07
 5 21  1.03986  0.01147 -0.02531  0.30738  1.87  4.26
 5 22  0.99895  0.01082 -0.05149  0.29133  1.33  2.68
 5 23  1.00069  0.01080 -0.05715  0.30459  1.29  2.56
 5 24  0.99877  0.01070 -0.06270  0.31523  1.29  2.44
 5 25  0.99566  0.01078 -0.06581  0.32311  1.33  2.32
 5 26  0.99700  0.01110 -0.06297  0.33309  1.30  2.31
 5 27  0.99459  0.01141 -0.05760  0.33580  1.31  2.64
 5 28  1.02551  0.00923 -0.07052  0.36649  1.68  3.73
 5 29  1.04591  0.00540 -0.08952  0.39359  1.49  3.51
 5 30  1.04892  0.00221 -0.12435  0.40502  1.40  3.28
 5 31  0.99468  0.00236 -0.13949  0.35758  1.68  3.16
 5 32  0.96379  0.00341 -0.11709  0.32471  1.73  3.03
 5 33  0.94189  0.00452 -0.10024  0.29863  1.75  3.04
 5 34  0.90347  0.00462 -0.10027  0.25781  2.06  3.40
 5 35  0.88713  0.00446 -0.09013  0.23521  2.08  3.51
 5 36  0.89373  0.00784  0.06019  0.23024  1.76  2.93
 5 37  0.91899  0.00404 -0.00698  0.25537  1.74  3.09
 5 38  0.92584  0.00458 -0.01295  0.25736  1.83  3.51
 5 39  0.90714  0.00587 -0.03790  0.23916  1.62  3.18
 5 40  0.89756  0.00553 -0.06575  0.23217  1.65  3.10
 5 41  0.89710  0.00591 -0.06595  0.23191  1.64  3.08
 5 42  0.89579  0.00616 -0.06794  0.23224  1.63  3.02
 5 43  0.89479  0.00655 -0.06688  0.23170  1.63  2.92
 5 44  0.89117  0.00709 -0.06046  0.22755  1.57  2.84
 5 45  0.88152  0.00788 -0.04953  0.21596  1.56  2.85
 5 46  0.89758  0.00724 -0.04034  0.22844  1.50  2.91
 5 47  0.92634  0.00585 -0.02407  0.25294  1.71  3.45
 5 48  0.94378  0.00430 -0.01204  0.26948  1.91  3.23
 5 49  0.93683  0.00270 -0.07988  0.26467  1.61  3.13
 5 50  0.93150  0.00299 -0.08411  0.25335  1.95  4.38
 5 51  0.90766  0.00372 -0.07068  0.23115  1.49  2.93
 5 52  0.89733  0.00306 -0.09343  0.21749  1.99  4.02
 5 53  0.88757  0.00268 -0.09113  0.20685  2.01  3.95
 5 54  0.87921  0.00461  0.02870  0.19510  1.81  3.53
