# nexp = 3
# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 3 46  0.18789  29.11055  0.37918  9.01557  0.43586  3.43335  1.52300  0.00892
 3 47  0.17422  31.29531  0.43100  8.81269  0.39488  3.27401  1.64800  0.00820
 3 48  0.22410  26.40527  0.38633  8.09109  0.38629  3.32050  2.48300  0.01202
 3 49  0.10518  42.59784  0.42475 11.21654  0.46404  3.57398  2.08200  0.00941
 3 50  0.05985  62.05018  0.42692 13.24184  0.50466  3.73925  1.93200  0.01069
 3 51  0.02579 126.19706  0.41714 15.74909  0.54580  3.90371  1.83100  0.01338
 3 52  0.03182 103.85920  0.42238 15.28725  0.53310  3.84099  1.75400  0.00984
 3 53  0.05303  67.63997  0.41875 14.17529  0.51180  3.78535  1.69200  0.01216
 3 54  0.29620  23.54752  0.46855  6.21074  0.23608  2.43168  3.07800  0.01489
 3 55  0.10625  49.84873  0.52032  9.86837  0.36956  3.07056  3.11600  0.02301
 3 56  0.12913  44.13534  0.54128  8.97074  0.32893  2.91358  2.54900  0.02015
 3 57  0.24244  27.50410  0.38636  7.97399  0.37211  2.94305  2.19900  0.01560
 3 58  0.13028  44.11852  0.49869  9.26609  0.36500  3.41188  2.83900  0.02007
 3 59  0.13774  43.17466  0.51561  8.85636  0.34110  3.39623  2.77800  0.02075
 3 60  0.12879  45.51113  0.51053  9.16594  0.35511  3.50750  2.72700  0.02102
 3 61  0.11830  48.59951  0.50622  9.53266  0.36985  3.61739  2.68200  0.02119
 3 62  0.10788  52.24668  0.50238  9.91726  0.38402  3.72235  2.64100  0.02161
 3 63  0.10395  54.07618  0.50766 10.01204  0.38277  3.76631  2.61000  0.02028
 3 64  0.09359  58.29931  0.52159 10.18547  0.38148  3.75702  2.80600  0.01906
 3 65  0.09514  58.79237  0.51780 10.24750  0.38161  3.84879  2.56500  0.02118
 3 66  0.09067  61.36190  0.52145 10.40591  0.38250  3.88627  2.54400  0.02177
 3 67  0.08404  65.49468  0.52521 10.64741  0.38541  3.92237  2.52200  0.02257
 3 68  0.07841  70.04771  0.53365 10.79682  0.38266  3.92687  2.50100  0.02383
 3 69  0.08537  65.78223  0.55302 10.41577  0.35653  3.81705  2.48200  0.02042
 3 70  0.11566  50.53346  0.59679  9.27714  0.28236  3.45853  2.86100  0.00942
 3 71  0.06466  84.64847  0.55867 11.10827  0.37384  3.75906  2.18000  0.02183
 3 72  0.06532  82.15874  0.54731 11.50357  0.38583  3.79658  1.96000  0.01939
 3 73  0.06695  79.98019  0.54768 11.55112  0.38571  3.76010  1.81900  0.01767
 3 74  0.07614  71.64776  0.55968 11.16821  0.36753  3.61557  1.69300  0.01548
 3 75  0.14233  43.19046  0.58645  9.12958  0.28015  3.11009  1.57700  0.00643
 3 76  0.11432  50.78000  0.55211 10.22074  0.33760  3.50620  1.53100  0.00739
 3 77  0.12200  48.04212  0.54003 10.19767  0.34112  3.55542  1.52400  0.00562
 3 78  0.13550  44.67909  0.54977  9.78553  0.31512  3.45396  1.58200  0.00603
 3 79  0.14075  44.05912  0.58207  9.41239  0.27761  3.17839  1.69600  0.00724
 3 80  0.14163  42.98602  0.56309  9.66274  0.29337  3.28883  2.49300  0.00850
 3 81  0.10429  55.12844  0.56753 10.67318  0.32483  3.42001  2.14000  0.00732
 3 82  0.07008  77.10144  0.56605 11.92653  0.35906  3.54123  2.00900  0.00941
 3 83  0.05741  91.52732  0.55202 12.73738  0.38401  3.67142  1.91300  0.01054
 3 84  0.05260  98.67057  0.54649 13.16437  0.39315  3.68930  1.84300  0.00893
 3 85  0.06866  76.05838  0.54337 12.63526  0.37829  3.61952  1.78500  0.01011
 3 86  0.40542  19.89818  0.42956  6.07959  0.16537  2.36184  3.15300  0.01565
 3 87  0.14755  40.90753  0.53520 10.44082  0.31348  3.09295  3.07900  0.01572
 3 88  0.33640  23.08662  0.44193  7.20207  0.22268  2.58765  2.53500  0.01646
 3 89  0.27525  26.10628  0.45582  8.36199  0.26943  2.81566  2.28800  0.01589
 3 90  0.26961  26.51857  0.44913  8.58513  0.28254  2.86800  2.12100  0.01517
 3 91  0.43137  20.35124  0.54639  4.78012  9.99990  0.03263  1.96900  0.01328
 3 92  0.41854  21.18416  0.55981  4.86962  9.99990  0.03245  1.92100  0.01316
 4  4  0.57889   7.19454  0.41691  2.23327  0.00000  1.00000  3.17900  0.03767
 4  5  0.82409   5.89666  9.99990  0.11079  0.00000  1.00000  1.51200  0.01939
 4  6  0.84277   6.06097  9.99990  0.11365  0.00000  1.00000  1.21900  0.01762
 4  7  0.76444   7.10263  9.99990  0.16959  0.00000  1.00000  1.04100  0.02495
 4  8  0.70761   7.98504  9.99990  0.20759  0.00000  1.00000  0.95900  0.02357
 4  9  0.63088   9.19679  9.99990  0.26527  0.00000  1.00000  0.97500  0.01695
 4 10  0.16271  28.56449  0.83332  4.12314  0.00000  1.00000  2.73300  0.04688
 4 11  0.23524  19.55379  0.74486  3.99455  0.00000  1.00000  2.31400  0.02674
 4 12  0.17563  24.60896  0.70878  4.80604  0.11347  1.53241  3.13100  0.02848
 4 13  0.17901  25.56809  0.74625  4.67055  9.99990  0.05541  2.00200  0.02234
 4 14  0.26440  18.72177  0.70276  4.01859  0.00000  1.00000  1.64300  0.02072
 4 15  0.20878  23.26895  0.74597  4.39880  0.00000  1.00000  1.43700  0.01434
 4 16  0.19088  24.33459  0.74777  4.67842  0.00000  1.00000  1.30200  0.01700
 4 17  0.09155  42.46754  0.72955  6.28651  9.99990  0.12808  1.34000  0.01624
 4 18  0.06997  45.31293  0.46762  8.81319  0.46038  2.88500  3.00800  0.02922
 4 19  0.05303  56.89649  0.43786  9.75267  0.49964  3.16331  2.73700  0.02301
 4 20  0.35545  14.57274  0.62552  3.74852  9.99990  0.01991  3.14464  0.02674
 4 21  0.32326  16.41350  0.66945  3.85717  0.00000  1.00000  1.95000  0.03056
 4 22  0.26311  20.39575  0.73141  4.17339  0.00000  1.00000  1.74400  0.03387
 4 23  0.28208  18.81552  0.71544  4.17498  0.00000  1.00000  1.57900  0.03222
 4 24  0.32259  16.23105  0.67791  4.10631  0.00000  1.00000  1.45900  0.02379
 4 25  0.02083 127.38898  0.30428 14.81319  0.67256  4.24263  1.37700  0.01875
 4 26  0.02795 103.70687  0.32442 13.47177  0.64459  4.26663  1.32600  0.01432
 4 27  0.02722 105.56458  0.31139 13.95213  0.65499  4.42659  1.29200  0.01378
 4 28  0.03390  98.29628  0.43109 11.32347  0.54003  3.86375  1.30600  0.01020
 4 29  0.02245 135.54243  0.35141 13.80098  0.61676  4.34991  1.53100  0.01156
 4 30  0.29207  17.50388  0.60040  5.24466  0.10394  2.41154  2.47700  0.01469
 4 31  0.32540  16.71195  0.64016  4.81247  9.99990  0.03929  1.94500  0.01295
 4 32  0.32154  17.24489  0.63846  4.88409  9.99990  0.04441  1.68300  0.01401
 4 33  0.33632  17.19687  0.62466  4.77687  9.99990  0.04247  1.52300  0.01248
 4 34  0.29116  19.53851  0.64748  5.18179  9.99990  0.06148  1.41300  0.01319
 4 35  0.25730  21.68411  0.65540  5.57874  9.99990  0.08072  1.48200  0.01085
 4 36  0.66510   9.88250  0.33326  2.86897  0.00000  1.00000  3.06300  0.03199
 4 37  0.52133  12.95438  0.46655  3.52526  9.99990  0.01449  2.89000  0.01895
 4 38  0.42298  15.79311  0.50869  4.25774  0.06833  1.77008  4.50000  0.03015 
