# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d rms_err(%) max_err(%)
 2 34  1.13830  0.05432  0.21226  0.19593 28.01 50.32
 2 35  0.91271  0.01920  0.14577  0.30943  2.93  5.04
 2 36  0.83356  0.00340 -0.02110  0.26433  1.95  3.42
 2 37  0.81394  0.01035  0.10846  0.19921  2.22  3.86
 2 38  0.82415  0.09596  0.35212  0.09060  4.46  6.50
 2 39  0.76732  0.05061  0.23732  0.09434  2.65  5.06
 2 40  0.77516  0.04749  0.20739  0.09996  2.13  4.19
 2 41  0.76980  0.04637  0.17833  0.12032  1.99  4.41
 2 42  0.81228  0.01427  0.03707  0.25003  1.67  3.56
 2 43  0.82318  0.01861  0.05482  0.25652  2.27  4.56
 2 44  0.80957  0.01673  0.03770  0.26017  1.62  3.50
 2 45  0.80979  0.01903  0.05389  0.25824  1.63  3.47
 2 46  0.81058  0.02024  0.06821  0.25016  1.57  3.24
 2 47  0.80870  0.03363  0.17938  0.17436  1.67  3.12
 2 48  0.82728  0.02785  0.19068  0.19072  1.87  3.93
 2 49  0.81521  0.02111  0.15157  0.18704  1.52  2.69
 2 50  0.78221  0.04609  0.22282  0.11226  2.53  4.97
 2 51  0.69330  0.22313  0.36653 -0.17235  2.74  4.36
 2 52  0.64457  0.95939  0.45277 -0.96968  2.84  4.10
 2 53  0.83915  0.03293  0.21658  0.16470  3.12  4.94
 2 54  0.84142  0.00552  0.05244  0.21251  1.83  3.79
 2 55  0.83243  0.00920  0.10969  0.19370  1.33  2.48
 2 56  0.81271  0.01859  0.16733  0.15790  1.59  2.81
 2 57  0.81545  0.01052  0.07104  0.18424  1.92  3.92
 2 58  0.86693  0.00992  0.13653  0.24062  1.23  2.35
 2 59  0.87571  0.00817  0.11638  0.25865  1.13  2.06
 2 60  0.88258  0.00698  0.09933  0.27359  1.07  1.82
 2 61  0.88799  0.00625  0.08741  0.28608  1.03  1.71
 2 62  0.89231  0.00565  0.07623  0.29744  1.00  1.64
 2 63  0.89788  0.00483  0.06117  0.31031  0.96  1.57
 2 64  0.85531  0.03144  0.24115  0.23696  1.60  3.45
 2 65  0.89798  0.00434  0.04920  0.32411  1.00  1.62
 2 66  0.89604  0.00417  0.04467  0.32864  1.04  1.76
 2 67  0.89149  0.00420  0.04456  0.32966  1.09  1.88
 2 68  0.88181  0.00448  0.04978  0.32436  1.18  2.02
 2 69  0.86766  0.00516  0.06101  0.31095  1.30  2.13
 2 70  0.84690  0.00718  0.10564  0.28700  1.48  2.45
 2 71  0.81169  0.02195  0.17729  0.22074  2.08  3.16
 2 72  0.81261  0.02101  0.14231  0.22027  2.69  4.95
 2 73  0.77562  0.02491  0.13765  0.20348  2.36  4.88
 2 74  0.82093  0.00782  0.00227  0.31626  1.17  2.17
 2 75  0.80999  0.00968  0.01625  0.30946  1.27  2.35
 2 76  0.79590  0.01131  0.02938  0.29753  1.11  2.14
 2 77  0.79217  0.01218  0.04089  0.28851  1.13  2.17
 2 78  0.79315  0.01225  0.05228  0.27921  1.15  2.20
 2 79  0.79614  0.01427  0.12550  0.23351  1.42  2.59
 2 80  0.80008  0.00970  0.11212  0.23935  1.72  3.08
 2 81  0.78854  0.00881  0.09521  0.22473  1.60  2.84
 2 82  0.78755  0.01562  0.14396  0.19465  3.33  5.44
 2 83  0.73945  0.04222  0.24407  0.11596  3.43  5.28
 2 84  0.71216  0.09029  0.31836  0.03338  3.66  5.34
 2 85  0.81440  0.01105  0.13565  0.21302  3.87  6.60
 2 86  0.79416  0.00310  0.02895  0.21460  2.58  5.03
 2 87  0.76609  0.00576  0.09924  0.16783  2.25  4.00
 2 88  0.73695  0.01182  0.14796  0.12753  2.22  3.66
 2 89  0.76538  0.00568  0.04460  0.18770  2.62  5.02
 2 90  0.75868  0.00709  0.05573  0.18185  2.65  5.11
 2 91  0.78042  0.01233  0.11728  0.20540  1.64  3.04
