# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d rms_err(%) max_err(%)
 2 45  0.42250 -1.79091 10.13727 -0.98977  2.72  4.78
 2 46  0.44587 -1.77965 10.05444 -0.98192  2.57  4.49
 2 47  0.49342 -1.72612  9.50208 -0.95339  1.71  2.71
 2 48  0.55752 -1.69083  9.33856 -0.94873  1.71  2.86
 2 49  0.43478 -1.72280  9.50757 -0.96393  1.90  3.09
 2 50  0.44800 -1.72569  9.43016 -0.94876  1.31  2.31
 2 51  0.66451 -1.68026  9.28507 -0.88272  2.39  4.96
 2 52  0.86738 -1.64509  9.00558 -0.84688  3.68  9.15
 2 53  0.48893 -1.69362  8.96842 -0.97022  1.42  2.72
 2 54  0.40090 -1.70066  9.46637 -0.96882  3.47  5.78
 2 55  0.38114 -1.70333  9.35379 -0.97382  2.58  4.75
 2 56  0.35497 -1.71979  9.32801 -0.97029  1.74  2.81
 2 57  0.33392 -1.74980  9.63556 -0.96790  2.95  5.14
 2 58  0.54228 -1.66395  9.17131 -0.96755  3.02  5.26
 2 59  0.54705 -1.66482  9.17551 -0.97459  3.18  5.60
 2 60  0.55081 -1.66581  9.18418 -0.98049  3.31  5.82
 2 61  0.55890 -1.66578  9.19193 -0.98469  3.39  5.95
 2 62  0.56526 -1.66607  9.20518 -0.98880  3.46  6.04
 2 63  0.58367 -1.66330  9.21493 -0.99063  3.56  6.14
 2 64  0.70819 -1.65064  9.14911 -0.96041  2.57  4.52
 2 65  0.58485 -1.66553  9.27593 -0.99855  3.60  6.21
 2 66  0.57825 -1.66781  9.31431 -1.00311  3.59  6.22
 2 67  0.56960 -1.67049  9.36191 -1.00652  3.56  6.20
 2 68  0.54881 -1.67545  9.43045 -1.00993  3.46  6.10
 2 69  0.51393 -1.68351  9.50605 -1.01252  3.27  5.88
 2 70  0.55711 -1.67082  9.55985 -0.99895  2.97  5.52
 2 71  0.43199 -1.71832  9.58130 -1.00293  1.69  3.51
 2 72  0.40277 -1.74201  9.70820 -0.99547  1.28  2.14
 2 73  0.46022 -1.74655 10.07330 -0.97513  1.44  2.40
 2 74  0.37218 -1.77783 10.34419 -1.02829  3.56  6.08
 2 75  0.39449 -1.77797 10.42098 -1.02281  3.23  5.49
 2 76  0.41976 -1.77393 10.47967 -1.01587  2.93  5.32
 2 77  0.43411 -1.76821 10.44887 -1.01006  2.72  4.91
 2 78  0.44602 -1.75795 10.36105 -1.00383  2.63  4.74
 2 79  0.46689 -1.71448  9.93012 -0.98735  2.15  3.90
 2 80  0.47771 -1.69603  9.90047 -0.98937  2.22  3.87
 2 81  0.40005 -1.71565  9.95881 -0.99685  2.20  4.11
 2 82  0.33892 -1.73839  9.75455 -1.00614  0.82  1.52
 2 83  0.43476 -1.71274  9.85958 -0.97242  1.24  2.20
 2 84  0.55301 -1.68287  9.77700 -0.94734  2.38  5.33
 2 85  0.34664 -1.71801  9.43829 -1.02049  0.88  1.50
 2 86  0.38450 -1.69086  9.83986 -0.99575  2.21  3.98
 2 87  0.33024 -1.69699  9.89704 -0.98388  1.94  3.21
 2 88  0.28367 -1.72441  9.99468 -0.97592  1.09  1.86
 2 89  0.28998 -1.74530 10.09452 -0.99936  2.00  3.63
 2 90  0.29693 -1.75026 10.15160 -0.99470  1.88  3.40
 2 91  0.44667 -1.71092 10.01358 -0.97192  2.33  3.70
 2 92  0.45863 -1.70715  9.97069 -0.96843  2.37  3.87
 3  3  0.06392 -1.97519  7.61420 -1.20698  3.33  6.81
 3  4  0.11816 -1.91426  8.33707 -1.14668  1.88  4.08
 3  5  0.15226 -1.93005  8.68449 -1.17004  2.71  5.25
 3  6  0.22425 -1.91411  9.36114 -1.16528  4.60  7.74
 3  7  0.25185 -1.91946  9.36835 -1.19729  3.70  6.62
 3  8  0.22123 -1.94444 10.25296 -1.16433  2.47  5.17
 3  9  0.24344 -1.93970 10.82080 -1.10629  1.46  2.56
 3 10  0.60108 -1.76546  9.40050 -0.95700  2.22  3.95
 3 11  0.62167 -1.72060  9.15177 -0.99891  5.53 12.30
 3 12  0.61079 -1.68335  8.91878 -0.99972  5.80 11.89
 3 13  0.44355 -1.75194  9.28691 -1.02056  5.90 12.12
 3 14  0.39875 -1.78318  9.36813 -1.03513  6.06 11.30
 3 15  0.38764 -1.80067  9.34162 -1.04890  6.11 10.67
 3 16  0.30096 -1.83646  9.59346 -1.05992  5.45  9.68
 3 17  0.19826 -1.88464  9.72358 -1.08373  4.88  8.88
 3 18  0.33455 -1.77563  8.87679 -1.01192  1.28  2.42
 3 19  0.70573 -1.65824  8.45759 -0.96239  3.67  8.25
 3 20  0.80342 -1.64517  8.48025 -0.94750  4.46 10.29
 3 21  0.66219 -1.70609  8.86282 -0.95961  2.62  5.97
 3 22  0.67918 -1.71988  8.97778 -0.96435  2.70  6.12
 3 23  0.68414 -1.73236  9.07956 -0.96839  2.38  5.39
 3 24  0.67397 -1.74529  9.20711 -0.97149  2.12  4.65
 3 25  0.61574 -1.76672  9.39335 -0.98728  2.01  4.06
 3 26  0.56292 -1.78302  9.57158 -1.00686  2.11  3.98
 3 27  0.55455 -1.78610  9.68286 -1.02118  2.41  4.43
 3 28  0.58915 -1.77539  9.71222 -1.01937  2.75  5.58
 3 29  0.50273 -1.77762  9.76844 -1.04228  3.40  6.42
 3 30  0.90121 -1.65256  8.78290 -0.98991  2.22  4.86
 3 31  0.69217 -1.69791  9.38613 -1.00812  3.29  6.84
 3 32  0.57250 -1.72650  9.52826 -1.02986  3.84  8.47
 3 33  0.54353 -1.73910  9.71841 -1.02796  4.42 10.05
 3 34  0.39302 -1.77737  9.93793 -1.04926  4.35  8.92
 3 35  0.25044 -1.82573 10.07581 -1.07653  4.52  7.77
 3 36  0.33274 -1.75042  9.63945 -1.01708  1.98  3.29
 3 37  0.85811 -1.62252  9.08253 -0.93207  1.69  5.03
 3 38  1.01076 -1.59935  8.87248 -0.90801  2.31  6.74
 3 39  0.56391 -1.70521  9.56834 -0.96014  0.96  2.48
 3 40  0.52131 -1.72975  9.70890 -0.96410  1.24  2.80
 3 41  0.44344 -1.76162  9.85188 -0.97900  1.51  3.03
