# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 2  5  0.05542  47.74364  0.93719  3.84204  0.00000  1.00000  2.69200  0.03069
 2  6  0.99814   4.42359  0.00000  1.00000  0.00000  1.00000  2.46200  0.04500
 2  7  1.00190   4.92640  0.00000  1.00000  0.00000  1.00000  1.47932  0.07185
 2  8  0.03660  71.07807  1.02203  4.47206  0.00000  1.00000  0.99600  0.01774
 2  9  0.81725   6.17962  0.19203  2.25909  0.00000  1.00000  2.11314  0.03237
 2 10  0.68228   8.02319  0.36699  1.75578  0.00000  1.00000  1.85744  0.04042
 2 11  0.43024  12.02375  0.57034  2.92219  0.00000  1.00000  2.78118  0.05527
 2 12  0.38425  13.56612  0.61210  3.03299  0.00000  1.00000  3.42000  0.03833
 2 13  0.32651  16.27938  0.67289  3.21976  0.00000  1.00000  3.20700  0.03427
 2 14  0.23883  23.06181  0.76087  3.57051  0.00000  1.00000  3.03700  0.04682
 2 15  0.17345  31.29290  0.82572  3.90727  0.00000  1.00000  2.87000  0.06444
 2 16  0.12440  42.34229  0.87406  4.23602  0.00000  1.00000  2.74200  0.08465
 2 17  0.22546  22.80743  0.74050  4.00171  0.04853  0.87029  2.65600  0.02231
 2 18  0.12313  33.75641  0.66481  5.79232  0.23734  1.53811  2.34621  0.02700
 2 19  0.06880  47.78068  0.49834  8.24979  0.43328  2.59677  3.15010  0.03732
 2 20  0.09046  40.16693  0.45322  8.04110  0.45385  2.81714  4.13900  0.02737
 2 21  0.05549  52.78457  0.36228 10.68209  0.58115  3.28710  3.79600  0.03544
 2 22  0.05123  57.10573  0.33043 11.41454  0.61786  3.53025  3.60500  0.03942
 2 23  0.02957  77.10050  0.28385 14.48152  0.68631  3.84061  3.42800  0.04807
 2 24  0.03570  72.51723  0.27800 13.82250  0.68661  3.97281  2.21477  0.04031
 2 25  0.25606  19.09267  0.74426  4.25636  0.00000  1.00000  2.07606  0.04709
 2 26  0.21441  24.03878  0.78609  4.49426  0.00000  1.00000  1.85266  0.05300
 2 27  0.02263 101.35151  0.23681 16.95256  0.74174  4.46648  1.63325  0.04182
 2 28  0.02666 108.84299  0.27616 14.42217  0.69867  4.42880  1.58336  0.03435
 2 29  0.42773  12.09820  0.57290  4.00633  0.00000  1.00000  2.05016  0.02357
 2 30  0.51702  10.84962  0.47617  3.72757  9.99990  0.01198  3.04700  0.02069
 2 31  0.03442 115.22393  0.54989  9.75709  0.41540  3.36700  3.08900  0.01601
 2 32  0.46953  12.99282  0.52997  3.71227  0.00000  1.00000  3.06500  0.02689
 2 33  0.39103  15.94493  0.60788  3.98987  0.00000  1.00000  2.96700  0.04353
 2 34  0.30898  20.90657  0.68881  4.31813  0.00000  1.00000  2.88200  0.07845
 2 35  0.47169  13.28177  0.49783  3.84544  0.03257  1.38777  2.82400  0.01552
 2 36  0.24461  20.62870  0.57889  6.17670  0.18392  1.86066  2.59224  0.01573
 2 37  0.08019  49.21821  0.59727  8.98504  0.32278  2.59718  3.24689  0.02573
 2 38  0.09835  39.65200  0.53859  9.28729  0.36132  2.80535  4.55000  0.01923
 2 39  0.02403 148.05954  0.50952 12.44856  0.46622  3.18550  3.95200  0.02697
 2 40  0.45235  15.96746  0.54790  3.49005  0.00000  1.00000  2.53051  0.04184
 2 41  0.42389  17.21556  0.57706  3.63060  0.00000  1.00000  2.00611  0.04109
 2 42  0.33965  19.18041  0.50104  5.13916  0.19730  1.82465  1.67137  0.00905
 2 43  0.47855  14.51550  0.53053  3.46726  0.00000  1.00000  1.55900  0.01476
 2 44  0.34844  19.64205  0.59746  4.56066  9.99990  0.07370  1.48400  0.00710
 2 45  0.34628  19.92697  0.59903  4.57246  0.23778  0.60399  1.47900  0.00661
 2 46  0.31303  21.56464  0.48719  5.41273  0.21776  2.49207  1.56500  0.00726
 2 47  0.16589  30.06935  0.32893 10.57160  0.50485  3.63192  3.00400  0.01027
 2 48  0.23699  26.08699  0.39987  7.43954  0.36227  3.13583  3.23600  0.01219
 2 49  0.15471  34.19316  0.42743  9.41824  0.41775  3.23749  3.31700  0.01178
 2 50  0.05224  69.99888  0.44984 13.15234  0.49756  3.46545  3.30000  0.02215
