# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d relerr(%)
 5 50  0.27808 -1.74017  7.13472 -0.98613  2.82644
 5 51  0.26836 -1.74851  7.24898 -0.98089  2.62807
 5 52  0.21598 -1.76881  7.20068 -1.00687  3.32054
 5 53  0.20353 -1.76583  7.17164 -1.00787  3.19342
 5 54  0.23128 -1.72596  7.06139 -0.97870  2.22673
 5 55  0.25967 -1.72188  7.04051 -0.98831  2.90800
 5 56  0.26901 -1.73427  7.13528 -0.99017  2.66379
 5 57  0.23450 -1.75276  7.21484 -0.97438  2.58158
 5 58  0.45192 -1.67114  6.93812 -0.92890  0.38178
 5 59  0.40601 -1.68623  6.98510 -0.94542  0.76617
 5 60  0.40773 -1.68777  6.99452 -0.94685  0.64545
 5 61  0.41998 -1.68604  7.00197 -0.94496  0.53855
 5 62  0.43800 -1.68242  7.00740 -0.94178  0.55461
 5 63  0.45636 -1.67846  7.01209 -0.93899  0.64286
 5 64  0.26653 -1.75857  7.25148 -1.01556  3.22554
 5 65  0.48852 -1.67014  7.00964 -0.93894  0.80086
 5 66  0.50217 -1.66636  7.00930 -0.93947  0.85762
 5 67  0.51637 -1.66202  7.00345 -0.94042  0.90512
 5 68  0.52985 -1.65682  7.00063 -0.94198  1.00945
 5 69  0.56425 -1.64480  6.99749 -0.93875  1.28636
 5 70  0.62148 -1.61740  6.62096 -0.96027  1.70163
 5 71  0.33842 -1.73096  7.25200 -0.99202  2.01305
 5 72  0.30911 -1.74740  7.48389 -1.00396  2.82856
 5 73  0.29935 -1.75287  7.52732 -1.00775  3.01673
 5 74  0.28710 -1.75934  7.57150 -1.01202  3.32169
 5 75  0.27703 -1.76484  7.60530 -1.01559  3.36786
