# Z1 Z2 a b c d relerr(%)
 3 19  1.43536  0.00413  0.02274  0.31965  2.43527
 3 20  1.45099  0.00275 -0.01589  0.34639  2.39919
 3 21  1.30922  0.01564  0.10018  0.27251  1.58869
 3 22  1.30879  0.01863  0.09734  0.28978  1.45823
 3 23  1.29148  0.02280  0.10271  0.29026  1.24197
 3 24  1.26513  0.02633  0.10531  0.28306  1.10164
 3 25  1.24826  0.02603  0.09143  0.28916  0.93883
 3 26  1.24658  0.02295  0.07092  0.31060  0.87905
 3 27  1.26178  0.02008  0.05447  0.34318  0.77913
 3 28  1.27226  0.01847  0.05023  0.36079  0.88358
 3 29  1.29193  0.01055  0.00914  0.38532  0.81074
 3 30  1.43497  0.00537  0.03940  0.42463  1.77685
 3 31  1.31106  0.00559  0.01165  0.37778  1.27637
 3 32  1.34232  0.00448 -0.02816  0.40213  1.79975
 3 33  1.31493  0.00458 -0.03622  0.39461  1.72531
 3 34  1.23084  0.00436 -0.04667  0.34528  1.14972
 3 35  1.19587  0.00315 -0.08348  0.32139  1.32185
 3 36  1.12928  0.00548  0.04445  0.21575  1.78604
 3 37  1.14155  0.01464  0.18721  0.20384  2.18911
 3 38  1.15211  0.01834  0.21875  0.20134  2.53414
 3 39  1.09755  0.01659  0.13958  0.18378  1.79135
 3 40  1.08750  0.01750  0.12346  0.18374  1.73327
 3 41  1.08337  0.01593  0.09568  0.19060  1.57603
 3 42  1.07760  0.01455  0.07168  0.19730  1.48614
 3 43  1.08547  0.01305  0.05127  0.21483  1.45535
 3 44  1.08401  0.01430  0.05905  0.21737  1.43335
 3 45  1.08993  0.01467  0.06131  0.22305  1.41363
 3 46  1.10365  0.01246  0.05554  0.23206  1.37771
 3 47  1.11156  0.00984  0.04969  0.23257  1.31891
 3 48  1.10299  0.02317  0.19647  0.17472  1.64517
 3 49  1.11935  0.01249  0.11918  0.21012  1.63641
 3 50  1.12821  0.00960  0.08413  0.22334  1.79766
 3 51  1.13212  0.00836  0.06296  0.22795  2.01048
 3 52  1.12405  0.00701  0.03929  0.22498  1.89001
 3 53  1.12036  0.00508  0.00340  0.22608  1.70465
 3 54  1.11115  0.00664  0.09296  0.17222  1.70951
 3 55  1.07001  0.03952  0.28961  0.11272  1.73379
 3 56  1.10256  0.00938  0.11098  0.18492  1.31961
 3 57  1.07289  0.01291  0.12041  0.14635  1.66224
 3 58  1.16001  0.01988  0.23942  0.21620  1.75265
 3 59  1.16625  0.01895  0.22890  0.22805  1.51860
 3 60  1.16429  0.02151  0.23721  0.22931  1.55505
 3 61  1.16307  0.02360  0.24331  0.23163  1.60780
 3 62  1.16276  0.02509  0.24715  0.23520  1.67317
 3 63  1.16261  0.02514  0.24558  0.24085  1.63718
 3 64  1.08416  0.08568  0.33806  0.11761  1.61904
 3 65  1.16074  0.02580  0.24579  0.24950  1.59307
 3 66  1.15731  0.02604  0.24558  0.25188  1.58409
 3 67  1.15313  0.02562  0.24312  0.25419  1.59094
 3 68  1.15113  0.02339  0.23388  0.25952  1.56472
 3 69  1.15282  0.01741  0.20546  0.27095  1.39324
 3 70  1.17987  0.00883  0.19292  0.29662  1.44579
 3 71  1.11484  0.01459  0.14414  0.24728  1.30648
 3 72  1.08825  0.01244  0.10756  0.24598  1.29037
 3 73  1.07933  0.01098  0.07963  0.24834  1.26524
 3 74  1.07357  0.00945  0.05173  0.25314  1.21235
 3 75  1.07771  0.00783  0.02608  0.26726  1.06199
 3 76  1.06904  0.00920  0.04281  0.26164  1.05707
 3 77  1.06667  0.00933  0.04501  0.26069  1.06281
 3 78  1.07314  0.00728  0.03310  0.26507  1.05790
 3 79  1.06813  0.00542  0.01988  0.25784  1.12341
 3 80  1.05219  0.01046  0.13913  0.21142  1.51866
 3 81  1.05236  0.00760  0.09640  0.22256  1.41498
 3 82  1.04392  0.00668  0.07804  0.21900  1.55734
 3 83  1.04488  0.00580  0.05924  0.22255  1.62923
 3 84  1.03842  0.00508  0.04140  0.21892  1.67601
 3 85  1.03643  0.00362  0.00553  0.22013  1.57707
 3 86  1.04690  0.00308  0.04997  0.18877  2.27338
 3 87  0.97883  0.02936  0.28563  0.11154  2.14578
 3 88  1.01546  0.00444  0.05970  0.17323  2.12485
 3 89  1.00370  0.00597  0.07706  0.16681  2.05737
 3 90  0.99880  0.00638  0.07249  0.16613  2.03659
 3 91  1.07952  0.00701  0.06951  0.23442  2.21691
 3 92  1.07278  0.00822  0.08205  0.23295  2.21489
 4  4  1.50441  0.00560  0.03340  0.32019  2.40611
 4  5  1.52503  0.00715 -0.08152  0.44926  2.74419
 4  6  1.58880  0.01186 -0.07378  0.56425  2.27500
 4  7  1.34519  0.01673 -0.05311  0.44993  2.23306
 4  8  1.21988  0.01965 -0.04134  0.37510  2.22713
 4  9  1.14397  0.02293 -0.01473  0.29493  2.08388
 4 10  1.16371  0.30874  0.37599 -0.16257  1.54117
 4 11  1.62138  0.00117 -0.13587  0.47840  2.40993
 4 12  1.44125  0.00052 -0.14378  0.34250  0.82711
 4 13  1.36054  0.00298 -0.07162  0.32645  0.92503
 4 14  1.35433  0.00515 -0.05350  0.34031  1.29654
 4 15  1.33847  0.00645 -0.05661  0.34503  1.03142
 4 16  1.29838  0.00729 -0.06080  0.33273  0.93141
 4 17  1.23469  0.00842 -0.03754  0.27852  1.19275
 4 18  1.25743  0.02265  0.18079  0.18485  1.49962
 4 19  1.38762  0.00626  0.07993  0.29118  1.89810
 4 20  1.48059  0.00414  0.03978  0.33659  2.03542
 4 21  1.33631  0.01841  0.10686  0.28208  1.83440
 4 22  1.30316  0.02584  0.11773  0.27264  1.60658
 4 23  1.28697  0.02386  0.09237  0.28519  1.43444
 4 24  1.29649  0.02050  0.06426  0.31454  1.42250
 4 25  1.28765  0.01871  0.04974  0.33362  1.07155
 4 26  1.29575  0.01679  0.03402  0.35865  0.96782
 4 27  1.30380  0.01539  0.02270  0.37807  0.97446
