# Z1 Z2 a b c d rms_err(%) max_err(%)
 3 33  0.90558  0.01839  0.13094  0.26058  1.80  3.13
 3 35  0.91873  0.00789  0.09972  0.27005  2.00  3.95
 3 36  0.88635  0.00412  0.06456  0.23854  2.08  3.70
 3 37  0.87852  0.00445  0.07478  0.22509  2.08  3.67
 3 38  0.87498  0.00608  0.09614  0.21588  2.00  3.57
 3 39  0.86700  0.01340  0.13949  0.19776  1.96  3.62
 3 40  0.86484  0.01893  0.15644  0.18843  1.95  3.74
 3 41  0.86235  0.02372  0.16673  0.18098  1.89  3.68
 3 42  0.85611  0.02895  0.17673  0.16926  1.80  3.75
 3 43  0.85689  0.03147  0.18005  0.16819  1.77  3.79
 3 44  0.85655  0.03320  0.18219  0.16729  1.76  3.81
 3 45  0.85848  0.03407  0.18255  0.16913  1.73  3.74
 3 46  0.86112  0.02783  0.17334  0.17910  1.69  3.25
 3 47  0.85956  0.02125  0.16274  0.18364  1.66  2.98
 3 48  0.86353  0.01532  0.14880  0.19223  1.63  2.91
 3 49  0.85716  0.01604  0.15256  0.18333  1.65  2.94
 3 50  0.84947  0.01789  0.16033  0.17088  1.69  2.98
 3 51  0.84034  0.02128  0.17266  0.15289  1.76  3.10
 3 52  0.83662  0.02177  0.17722  0.14366  1.80  3.17
 3 53  0.85793  0.03462  0.26013  0.13683  2.51  5.28
 3 54  0.89118  0.00873  0.17908  0.19357  2.31  5.05
 3 55  0.88987  0.00361  0.07734  0.21273  1.71  3.39
 3 56  0.88094  0.00665  0.10952  0.20646  1.59  2.89
 3 57  0.86424  0.01999  0.19959  0.14246  2.15  4.49
 3 58  0.93273  0.00126 -0.00587  0.27729  1.48  2.96
 3 59  0.94130  0.00109 -0.02069  0.29269  1.39  2.77
 3 60  0.94928  0.00090 -0.03602  0.30582  1.39  2.79
 3 61  0.94779  0.00122 -0.01568  0.31012  1.33  2.70
 3 62  0.94524  0.00155 -0.00134  0.31348  1.28  2.59
 3 63  0.94153  0.00185  0.00779  0.31604  1.23  2.45
 3 64  0.94431  0.00438  0.06649  0.31734  1.27  2.61
 3 65  0.93664  0.00202  0.00848  0.32336  1.15  2.20
 3 66  0.93356  0.00205  0.00759  0.32585  1.14  2.11
 3 67  0.92803  0.00213  0.00855  0.32555  1.15  2.00
 3 68  0.92166  0.00212  0.00612  0.32376  1.16  2.04
 3 69  0.91416  0.00201  0.00239  0.31874  1.22  2.14
 3 70  0.89542  0.00089 -0.05546  0.30430  1.53  2.61
 3 71  0.89531  0.00558  0.06919  0.28499  1.28  2.33
 3 72  0.86989  0.00899  0.09992  0.26305  1.37  2.48
 3 73  0.85991  0.01178  0.11607  0.24971  1.43  2.55
 3 74  0.85316  0.01383  0.12601  0.24030  1.46  2.59
 3 75  0.84709  0.01546  0.13301  0.23211  1.51  2.63
 3 76  0.84249  0.01651  0.13733  0.22640  1.54  2.67
 3 77  0.83921  0.01697  0.13960  0.22272  1.55  2.69
