 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> Februar 11, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in Silicon.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 120,00 keV   2,212E+01  1,195E+02     813 A       237 A       182 A   
 130,00 keV   2,303E+01  1,185E+02     875 A       252 A       194 A   
 140,00 keV   2,390E+01  1,174E+02     936 A       267 A       205 A   
 150,00 keV   2,476E+01  1,163E+02     997 A       282 A       217 A   
 160,00 keV   2,718E+01  1,152E+02    1059 A       297 A       228 A   
 170,00 keV   2,915E+01  1,141E+02    1120 A       312 A       239 A   
 180,00 keV   3,079E+01  1,130E+02    1181 A       326 A       251 A   
 200,00 keV   3,331E+01  1,108E+02    1303 A       355 A       273 A   
 225,00 keV   3,557E+01  1,081E+02    1456 A       389 A       301 A   
 250,00 keV   3,735E+01  1,055E+02    1610 A       424 A       328 A   
 275,00 keV   3,893E+01  1,030E+02    1766 A       458 A       355 A   
 300,00 keV   4,046E+01  1,006E+02    1924 A       491 A       382 A   
 325,00 keV   4,199E+01  9,827E+01    2082 A       525 A       409 A   
 350,00 keV   4,355E+01  9,608E+01    2243 A       557 A       436 A   
 375,00 keV   4,512E+01  9,399E+01    2404 A       590 A       462 A   
 400,00 keV   4,671E+01  9,201E+01    2566 A       622 A       489 A   
 450,00 keV   4,990E+01  8,830E+01    2892 A       685 A       542 A   
 500,00 keV   5,304E+01  8,492E+01    3221 A       746 A       595 A   
 550,00 keV   5,612E+01  8,183E+01    3551 A       806 A       647 A   
 600,00 keV   5,911E+01  7,898E+01    3881 A       864 A       700 A   
 650,00 keV   6,201E+01  7,636E+01    4213 A       920 A       751 A   
 700,00 keV   6,482E+01  7,394E+01    4544 A       974 A       802 A   
 800,00 keV   7,021E+01  6,960E+01    5206 A      1079 A       903 A   
 900,00 keV   7,534E+01  6,582E+01    5864 A      1178 A      1001 A   
   1,00 MeV   8,026E+01  6,249E+01    6519 A      1271 A      1097 A   
   1,10 MeV   8,502E+01  5,954E+01    7168 A      1359 A      1190 A   
   1,20 MeV   8,967E+01  5,689E+01    7810 A      1441 A      1280 A   
   1,30 MeV   9,422E+01  5,451E+01    8445 A      1520 A      1367 A   
   1,40 MeV   9,871E+01  5,235E+01    9072 A      1594 A      1452 A   
   1,50 MeV   1,032E+02  5,039E+01    9691 A      1664 A      1534 A   
   1,60 MeV   1,076E+02  4,858E+01    1,03 um     1730 A      1614 A   
   1,70 MeV   1,119E+02  4,693E+01    1,09 um     1792 A      1690 A   
   1,80 MeV   1,163E+02  4,539E+01    1,15 um     1852 A      1765 A   
   2,00 MeV   1,250E+02  4,266E+01    1,26 um     1964 A      1906 A   
   2,25 MeV   1,358E+02  3,973E+01    1,40 um     2091 A      2069 A   
   2,50 MeV   1,465E+02  3,723E+01    1,54 um     2202 A      2219 A   
   2,75 MeV   1,572E+02  3,506E+01    1,66 um     2301 A      2357 A   
   3,00 MeV   1,678E+02  3,317E+01    1,79 um     2389 A      2484 A   
   3,25 MeV   1,783E+02  3,150E+01    1,90 um     2467 A      2601 A   
   3,50 MeV   1,887E+02  3,001E+01    2,02 um     2538 A      2709 A   
   3,75 MeV   1,989E+02  2,867E+01    2,13 um     2601 A      2809 A   
   4,00 MeV   2,089E+02  2,746E+01    2,23 um     2659 A      2902 A   
   4,50 MeV   2,283E+02  2,536E+01    2,43 um     2766 A      3070 A   
   5,00 MeV   2,468E+02  2,359E+01    2,62 um     2857 A      3217 A   
   5,50 MeV   2,644E+02  2,208E+01    2,79 um     2934 A      3347 A   
   6,00 MeV   2,811E+02  2,077E+01    2,96 um     3001 A      3462 A   
   6,50 MeV   2,968E+02  1,963E+01    3,12 um     3060 A      3567 A   
   7,00 MeV   3,115E+02  1,862E+01    3,27 um     3113 A      3661 A   
   8,00 MeV   3,385E+02  1,691E+01    3,56 um     3215 A      3827 A   
